2020;9.5
2019;9.5
2018;9.9
2017;8.8
2016;8.9
2015;9.4
2014;9.6
2013;8.1
2012;8.5
2011;8.9
2010;7.3
2009;8.5
2008;8.7
2007;9.1
2006;8.6
2005;8
2004;8.2
2003;8.8
2002;9
2001;8.3
2000;9.1
1999;8.5
1998;8.4
1997;8.1
1996;6.7
1995;8.1
1994;9.4
1993;8
1992;8.6
1991;7.4
1990;8.5
1989;8.4
1988;8.3
1987;7
1986;7.3
1985;6.7
1984;7.1
1983;8.2
1982;8.1
1981;7.5
1980;6.9
1979;7.4
1978;6.9
1977;8
1976;7.7
1975;8
1974;8
1973;7.2
1972;7
1971;7.5
1970;7.1
1969;7.1
1968;7.3
1967;8
1966;7.9
1965;6.7
1964;7.4
1963;6.4
1962;6.4
1961;8.2
1960;7.7
1959;8.1
1958;7.5
1957;7.8
1956;6
1955;6.8
1954;6.9
1953;8
1952;7.4
1951;8.1
1950;8.1
1949;8.4
1948;8.3
1947;8.2
1946;7.8
1945;8.1
1944;7.3
1943;8.2
1942;6.7
1941;6.4
1940;6
1939;7.3
1938;7.6
1937;7.9
1936;7.7
1935;7.6
1934;8.7
1933;6.6
1932;7.4
1931;6.6
1930;8.1
1929;6.7
1928;7.9
1927;7.5
1926;8
1925;7.4
1924;6.7
1923;7.7
1922;6.7
1921;8.3
1920;8.1
1919;6.8
1918;7.9
1917;6.9
1916;8
1915;7.4
1914;7.4
1913;7.6
1912;7
1911;8.2
1910;7.5
1909;6.6
1908;6.6
1907;7.2
1906;7.4
1905;7.2
1904;7.8
1903;7.6
1902;6.8
1901;6.8
1900;7.5
1899;7
1898;7.6
1897;7.1
1896;6.4
1895;6.4
1894;7.2
1893;7
1892;6.9
1891;6.5
1890;6.5
1889;6.4
1888;6.2
1887;5.9
1886;7.3
1885;7
1884;7.5
1883;6.9
1882;7.3
1881;6.6
